name,year,disrupted,source
Discovery Zone,1999,1,wikipedia_ch11
Edison Brothers Stores,1999,1,wikipedia_ch11
Factory Card Outlet,1999,1,wikipedia_ch11
Fedco,1999,1,wikipedia_ch11
Filene's Basement,1999,1,wikipedia_ch11
Five Rivers Electronic Innovations,1999,1,wikipedia_ch11
Fruit of the Loom,1999,1,wikipedia_ch11
Gantos,1999,1,wikipedia_ch11
Geneva Steel,1999,1,wikipedia_ch11
Golden Books,1999,1,wikipedia_ch11
Harnischfeger,1999,1,wikipedia_ch11
Hechinger,1999,1,wikipedia_ch11
Home Quarters Warehouse,1999,1,wikipedia_ch11
Ichiban Records,1999,1,wikipedia_ch11
Iridium Communications,1999,1,wikipedia_ch11
J. Peterman Company,1999,1,wikipedia_ch11
Jay Jacobs (retailer),1999,1,wikipedia_ch11
Jitney Jungle,1999,1,wikipedia_ch11
Just For Feet,1999,1,wikipedia_ch11
Kindred Healthcare,1999,1,wikipedia_ch11
Kiwi International Air Lines,1999,1,wikipedia_ch11
Little Golden Books,1999,1,wikipedia_ch11
Loehmann's,1999,1,wikipedia_ch11
MJ Designs,1999,1,wikipedia_ch11
Official All Star Café,1999,1,wikipedia_ch11
P&C Foods,1999,1,wikipedia_ch11
Pendrell Corporation,1999,1,wikipedia_ch11
Penn Traffic,1999,1,wikipedia_ch11
Philip Services Corp,1999,1,wikipedia_ch11
Planet Hollywood,1999,1,wikipedia_ch11
Purina Mills,1999,1,wikipedia_ch11
Quality Markets,1999,1,wikipedia_ch11
Reynolds Technology,1999,1,wikipedia_ch11
Service Merchandise,1999,1,wikipedia_ch11
Singer Corporation,1999,1,wikipedia_ch11
Starter (clothing line),1999,1,wikipedia_ch11
Steinbach (store),1999,1,wikipedia_ch11
Tabu by Dana,1999,1,wikipedia_ch11
Zenith Electronics,1999,1,wikipedia_ch11
This list may not reflect recent changes,2000,1,wikipedia_ch11
Allegiant Air,2000,1,wikipedia_ch11
Ampad,2000,1,wikipedia_ch11
Armstrong World Industries,2000,1,wikipedia_ch11
Arrow Air,2000,1,wikipedia_ch11
Babcock & Wilcox,2000,1,wikipedia_ch11
Bealls (Texas-based department store),2000,1,wikipedia_ch11
Big Boy Restaurants,2000,1,wikipedia_ch11
Bonwit Teller,2000,1,wikipedia_ch11
Carmike Cinemas,2000,1,wikipedia_ch11
Charter Behavioral Health Systems,2000,1,wikipedia_ch11
Chris-Craft Corporation,2000,1,wikipedia_ch11
CHS Electronics,2000,1,wikipedia_ch11
Datapoint,2000,1,wikipedia_ch11
Eagle Food Centers,2000,1,wikipedia_ch11
Edwards Theatres,2000,1,wikipedia_ch11
Einstein Bros. Bagels,2000,1,wikipedia_ch11
Fashion Bar,2000,1,wikipedia_ch11
Frederick's of Hollywood,2000,1,wikipedia_ch11
Freei,2000,1,wikipedia_ch11
General Cinema,2000,1,wikipedia_ch11
Genesis HealthCare,2000,1,wikipedia_ch11
Grand Union (supermarket),2000,1,wikipedia_ch11
Heilig-Meyers,2000,1,wikipedia_ch11
Kitty Hawk Aircargo,2000,1,wikipedia_ch11
Lake Dolores Waterpark,2000,1,wikipedia_ch11
Landmark Theatres,2000,1,wikipedia_ch11
Ling-Temco-Vought,2000,1,wikipedia_ch11
Montgomery Ward,2000,1,wikipedia_ch11
National Airlines (1999–2002),2000,1,wikipedia_ch11
Noah's Bagels,2000,1,wikipedia_ch11
Orbcomm,2000,1,wikipedia_ch11
Outboard Marine Corporation,2000,1,wikipedia_ch11
Owens Corning,2000,1,wikipedia_ch11
Pathmark,2000,1,wikipedia_ch11
The Room Store,2000,1,wikipedia_ch11
Safelite,2000,1,wikipedia_ch11
Shoney's,2000,1,wikipedia_ch11
Smith Corona,2000,1,wikipedia_ch11
Stage Stores,2000,1,wikipedia_ch11
Stone & Webster,2000,1,wikipedia_ch11
Sunny's Surplus,2000,1,wikipedia_ch11
Tower Air,2000,1,wikipedia_ch11
Tri-North,2000,1,wikipedia_ch11
United Artists Theatres,2000,1,wikipedia_ch11
Value America,2000,1,wikipedia_ch11
Video Update,2000,1,wikipedia_ch11
Weiner's,2000,1,wikipedia_ch11
This list may not reflect recent changes,2001,1,wikipedia_ch11
360networks,2001,1,wikipedia_ch11
Aladdin Hotel & Casino,2001,1,wikipedia_ch11
Alamo Rent a Car,2001,1,wikipedia_ch11
Alesis,2001,1,wikipedia_ch11
American Classic Voyages,2001,1,wikipedia_ch11
Amerijet International,2001,1,wikipedia_ch11
Ames Department Stores,2001,1,wikipedia_ch11
AMF Bowling,2001,1,wikipedia_ch11
Arrow Dynamics,2001,1,wikipedia_ch11
@Home Network,2001,1,wikipedia_ch11
Baldwin Piano Company,2001,1,wikipedia_ch11
Bethlehem Steel,2001,1,wikipedia_ch11
Black-eyed Pea (restaurant),2001,1,wikipedia_ch11
Burlington Industries,2001,1,wikipedia_ch11
Carrows,2001,1,wikipedia_ch11
Chance Rides,2001,1,wikipedia_ch11
Chiquita,2001,1,wikipedia_ch11
Cineplex Odeon Corporation,2001,1,wikipedia_ch11
Coco's Bakery,2001,1,wikipedia_ch11
Converse (brand),2001,1,wikipedia_ch11
Crown Books,2001,1,wikipedia_ch11
CyberCash,2001,1,wikipedia_ch11
Dairy Mart,2001,1,wikipedia_ch11
Destination XL Group,2001,1,wikipedia_ch11
Diamond Match Company,2001,1,wikipedia_ch11
Drug Emporium,2001,1,wikipedia_ch11
Egghead Software,2001,1,wikipedia_ch11
Enron,2001,1,wikipedia_ch11
EToys.com,2001,1,wikipedia_ch11
Excite (web portal),2001,1,wikipedia_ch11
Exodus Communications,2001,1,wikipedia_ch11
Extreme Championship Wrestling,2001,1,wikipedia_ch11
Fastskin,2001,1,wikipedia_ch11
Fox Photo,2001,1,wikipedia_ch11
Frank's Nursery & Crafts,2001,1,wikipedia_ch11
Furr's Grocery,2001,1,wikipedia_ch11
G. C. Murphy,2001,1,wikipedia_ch11
Giovanola,2001,1,wikipedia_ch11
Golden Books,2001,1,wikipedia_ch11
Grace (company),2001,1,wikipedia_ch11
Greyhound Lines,2001,1,wikipedia_ch11
HomeBase,2001,1,wikipedia_ch11
Homeland (supermarket),2001,1,wikipedia_ch11
Imperial Sugar,2001,1,wikipedia_ch11
Kansas City Bolt and Nut Company plant,2001,1,wikipedia_ch11
The Kushner-Locke Company,2001,1,wikipedia_ch11
Lawson (store),2001,1,wikipedia_ch11
Lechters Housewares,2001,1,wikipedia_ch11
Lids (store),2001,1,wikipedia_ch11
Little Golden Books,2001,1,wikipedia_ch11
Loews Cineplex Entertainment,2001,1,wikipedia_ch11
Loki Entertainment,2001,1,wikipedia_ch11
Lyon's,2001,1,wikipedia_ch11
Mail Boxes Etc.,2001,1,wikipedia_ch11
Malden Mills,2001,1,wikipedia_ch11
Mars 2112,2001,1,wikipedia_ch11
McCrory Stores,2001,1,wikipedia_ch11
Midway Airlines (1993–2003),2001,1,wikipedia_ch11
Mosler Safe Company,2001,1,wikipedia_ch11
National Car Rental,2001,1,wikipedia_ch11
National Record Mart,2001,1,wikipedia_ch11
J. J. Newberry,2001,1,wikipedia_ch11
Newport Creamery,2001,1,wikipedia_ch11
NorthPoint Communications,2001,1,wikipedia_ch11
Official All Star Café,2001,1,wikipedia_ch11
Pacific Gas and Electric Company,2001,1,wikipedia_ch11
Payless Cashways,2001,1,wikipedia_ch11
Pergament Home Centers,2001,1,wikipedia_ch11
Phar-Mor,2001,1,wikipedia_ch11
Planet Hollywood,2001,1,wikipedia_ch11
Planet Hollywood Las Vegas,2001,1,wikipedia_ch11
Polaroid Corporation,2001,1,wikipedia_ch11
Prisma Energy International,2001,1,wikipedia_ch11
Project America,2001,1,wikipedia_ch11
Regal Cinemas,2001,1,wikipedia_ch11
Speedo,2001,1,wikipedia_ch11
Stan Lee Media,2001,1,wikipedia_ch11
Store of Knowledge,2001,1,wikipedia_ch11
Suddenlink Communications,2001,1,wikipedia_ch11
Sun Country Airlines,2001,1,wikipedia_ch11
Sunbeam Products,2001,1,wikipedia_ch11
Swanson TV Dinners,2001,1,wikipedia_ch11
TopWare Interactive,2001,1,wikipedia_ch11
Trak Auto,2001,1,wikipedia_ch11
Trans World Airlines,2001,1,wikipedia_ch11
ULTRA Diamonds,2001,1,wikipedia_ch11
USG Corporation,2001,1,wikipedia_ch11
USWeb,2001,1,wikipedia_ch11
Vekoma,2001,1,wikipedia_ch11
Viatel Inc.,2001,1,wikipedia_ch11
Vlasic Foods International,2001,1,wikipedia_ch11
Vlasic Pickles,2001,1,wikipedia_ch11
Warnaco Group,2001,1,wikipedia_ch11
Warner Brothers Corset Company,2001,1,wikipedia_ch11
Webvan,2001,1,wikipedia_ch11
Whittman-Hart,2001,1,wikipedia_ch11
